protein,ECC,GO_Nb,SL_Nb,essential,ES
MEL1,0.0,0.0,0.0,0,0.0
YJL092W,0.0,0.0,0.0,0,0.0
SSR1,0.0,0.0,0.0,0,0.0
YOL132W,0.0,0.0,0.0,0,0.0
YPL149W,0.16025641025641024,4.3358974358974365,2.25,0,0.16025641025641024
YAL001C,3.0130718954248366,6.316666666666666,2.5,1,3.0130718954248366
YBR123C,2.9575163398692808,5.623809523809523,17.5,1,2.9575163398692808
YDR362C,2.679738562091503,9.25,16.5,1,2.679738562091503
YGR047C,2.457516339869281,5.623809523809523,18.5,1,2.457516339869281
YOR110W,2.2931102265467596,25.47619047619048,42.0,1,2.2931102265467596
YPL007C,3.0130718954248366,7.8,16.5,1,3.0130718954248366
YAL003W,2.8539682539682536,9.1,0.0,1,2.8539682539682536
YBR025C,0.687689576505366,13.666666666666668,13.333333333333334,0,0.687689576505366
YBR118W,1.8186958874458874,13.0,0.0,0,1.8186958874458874
YKL081W,2.5928030303030303,24.666666666666668,15.833333333333334,0,2.5928030303030303
YKR084C,2.8,5.3,4.5,0,2.8
YOL139C,4.109715763318434,144.82500000000005,0.0,1,4.109715763318434
YPL048W,2.0785714285714283,0.8999999999999999,1.0,0,1.0
YPL226W,0.24285714285714285,0.3,0.0,0,0.24285714285714285
YPR080W,2.95,5.3,0.0,0,2.95
YAL004W,0.0,0.0,0.0,0,0.0
YGL181W,0.6425681959312708,2.1142857142857143,46.78333333333334,0,0.6425681959312708
YML109W,2.344827586206897,77.65119047619046,0.0,0,2.344827586206897
YAL005C,0.6156641265062603,6.248626373626372,11.888888888888888,0,0.6156641265062603
YAR002W,0.1967674210006459,0.0,8.194444444444445,0,0.1967674210006459
YDR192C,1.5343153786861843,32.653571428571425,29.27083333333333,0,1.5343153786861843
YHR069C,6.863572329516602,54.58528138528138,28.333333333333336,1,6.863572329516602
YLR310C,1.0509803921568628,25.196428571428573,20.166666666666664,1,1.0509803921568628
YLR335W,2.144949351369886,18.489210789210787,34.472222222222214,0,2.144949351369886
YLR347C,3.9534023796231756,119.98531746031752,74.72222222222224,1,3.9534023796231756
YNL007C,0.0,0.0,0.0,1,0.0
YNL064C,0.07448275862068965,0.5882352941176471,2.9166666666666665,0,0.07448275862068965
YOR098C,0.919388176932617,25.47344322344322,37.83333333333333,1,0.919388176932617
YOR160W,0.2577235772357724,1.1428571428571428,10.583333333333332,1,0.2577235772357724
YPL240C,1.6215686274509806,27.27087912087912,33.0,0,1.6215686274509806
YAL007C,0.25,2.3,3.0,0,0.25
YGL200C,4.295454545454546,19.05,37.19444444444444,0,4.295454545454546
YML012W,4.295454545454546,29.75,37.19444444444444,0,4.295454545454546
YAL011W,0.24285714285714285,0.0,0.0,0,0.0
YDL181W,8.923099114693208,63.66666666666666,22.0,0,8.923099114693208
YER081W,0.14893617021276592,12.0,0.0,0,0.14893617021276592
YHR158C,0.2,5.333333333333333,0.0,0,0.2
